Date_time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Day sin,Day cos,Year sin,Year cos
2004-03-10 18:00:00,2.6,1360.0,11.9,1046.0,166.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,-1.0,6.983781021210578e-13,0.9304646495678107,0.3663816806346235
2004-03-10 19:00:00,2.0,1292.0,9.4,955.0,103.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,-0.9659258262902536,0.25881904509809733,0.9307270264520777,0.36571464590808156
2004-03-10 20:00:00,2.2,1402.0,9.0,939.0,131.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,-0.8660254037893673,0.4999999999914633,0.9309889251502463,0.3650474232857821
2004-03-10 21:00:00,2.2,1376.0,9.2,948.0,172.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,-0.70710678118696,0.7071067811861351,0.9312503455277592,0.36438001311052887
2004-03-10 22:00:00,1.6,1272.0,6.5,836.0,131.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,-0.5000000000050759,0.866025403781508,0.9315112874503043,0.36371241572522167
2004-03-10 23:00:00,1.2,1197.0,4.7,750.0,89.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,-0.2588190451132802,0.9659258262861853,0.9317717507838159,0.36304463147285676
2004-03-11 00:00:00,1.2,1185.0,3.6,690.0,62.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,-1.8649660494734608e-12,1.0,0.9320317353944739,0.36237666069652624
2004-03-11 01:00:00,1.0,1136.0,3.3,672.0,62.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,0.2588190450956213,0.965925826290917,0.9322912411487145,0.3617085037393917
2004-03-11 02:00:00,0.9,1094.0,2.3,609.0,45.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,0.5000000000018457,0.866025403783373,0.932550267913189,0.36104016094478963
2004-03-11 03:00:00,0.6,1010.0,1.7,561.0,0.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,0.7071067811843226,0.7071067811887726,0.9328088155548255,0.36037163265607275
2004-03-11 04:00:00,0.0,1011.0,1.3,527.0,21.0,1818.0,1197.0,445.0,10.1,60.5,0.7465,0.8660254037802264,0.5000000000072958,0.9330668839407885,0.35970291921671554
2004-03-11 05:00:00,0.7,1066.0,1.1,512.0,16.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,0.9659258262892881,0.2588190451017001,0.9333244729384884,0.35903402097028747
2004-03-11 06:00:00,0.7,1052.0,1.6,553.0,34.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,1.0,4.42831020106798e-12,0.9335815824155818,0.35836493826045307
2004-03-11 07:00:00,1.1,1144.0,3.2,667.0,98.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,0.9659258262915804,-0.25881904509314535,0.9338382122399717,0.35769567143097164
2004-03-11 08:00:00,2.0,1333.0,8.0,900.0,174.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,0.8660254037846546,-0.49999999999962574,0.9340943622798179,0.3570262208256704
2004-03-11 09:00:00,2.2,1351.0,9.5,960.0,129.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,0.7071067811905851,-0.70710678118251,0.9343500324034959,0.3563565867885509
2004-03-11 10:00:00,1.7,1233.0,6.3,827.0,112.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,0.5000000000095157,-0.8660254037789448,0.9346052224796588,0.3556867696636291
2004-03-11 11:00:00,1.5,1179.0,5.0,762.0,95.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,0.25881904510417614,-0.9659258262886248,0.9348599323771954,0.3550167697950415
2004-03-11 12:00:00,1.6,1236.0,5.2,774.0,104.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,6.991654352662498e-12,-1.0,0.935114161965242,0.35434658752701864
2004-03-11 13:00:00,1.9,1286.0,7.3,869.0,146.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,-0.2588190451047254,-0.9659258262884776,0.9353679111131811,0.3536762232038848
2004-03-11 14:00:00,2.9,1371.0,11.5,1034.0,207.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,-0.49999999999740585,-0.8660254037859364,0.9356211796906423,0.3530056771700576
2004-03-11 15:00:00,2.2,1310.0,8.8,933.0,184.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,-0.7071067811806975,-0.7071067811923977,0.935873967567512,0.3523349497700216
2004-03-11 16:00:00,2.2,1292.0,8.3,912.0,193.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,-0.866025403784939,-0.49999999999913336,0.9361262746138934,0.3516640413484343
2004-03-11 17:00:00,2.9,1383.0,11.2,1020.0,243.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,-0.9659258262879613,-0.25881904510665216,0.9363781007001674,0.35099295224996635
2004-03-11 18:00:00,4.8,1581.0,20.8,1319.0,281.0,799.0,2083.0,1409.0,10.3,64.2,0.8065,-1.0,-9.554998504257017e-12,0.9366294456969513,0.3503216828194079
2004-03-11 19:00:00,6.9,1776.0,27.4,1488.0,383.0,702.0,2333.0,1704.0,9.7,69.3,0.8319,-0.965925826289141,0.25881904510224935,0.9368803094751098,0.3496502334016417
2004-03-11 20:00:00,6.1,1640.0,24.0,1404.0,351.0,743.0,2191.0,1654.0,9.6,67.8,0.8133,-0.866025403787218,0.4999999999951859,0.9371306919057549,0.34897860434164296
2004-03-11 21:00:00,3.9,1313.0,12.8,1076.0,240.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,-0.7071067811942102,0.7071067811788848,0.937380592860246,0.3483067959844793
2004-03-11 22:00:00,1.5,965.0,4.7,749.0,94.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,-0.5000000000013533,0.8660254037836573,0.9376300122101996,0.34763480867528357
2004-03-11 23:00:00,1.0,913.0,2.6,629.0,47.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,-0.2588190451091282,0.9659258262872978,0.9378789498274498,0.34696264275936084
2004-03-12 00:00:00,1.7,1080.0,5.9,805.0,122.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,2.433572572515316e-12,1.0,0.9381274055841083,0.34629029858202764
2004-03-12 01:00:00,1.9,1044.0,6.4,829.0,133.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,0.2588190450997734,0.9659258262898045,0.9383753793525242,0.34561777648871905
2004-03-12 02:00:00,1.4,988.0,4.1,718.0,82.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,0.49999999999296607,0.8660254037884997,0.9386228710052944,0.3449450768249614
2004-03-12 03:00:00,0.8,889.0,1.9,574.0,0.0,1680.0,1187.0,512.0,7.0,62.3,0.6261,0.707106781187362,0.707106781185733,0.9388698804152631,0.34427219993637226
2004-03-12 04:00:00,0.0,831.0,1.1,506.0,21.0,1893.0,1134.0,384.0,6.1,65.9,0.6248,0.8660254037823757,0.5000000000035733,0.9391164074555228,0.3435991461686602
2004-03-12 05:00:00,0.6,847.0,1.0,501.0,30.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,0.9659258262866344,0.2588190451116042,0.9393624519994234,0.3429259158675982
2004-03-12 06:00:00,0.8,927.0,1.8,571.0,56.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,1.0,1.297715790792031e-13,0.9396080139205331,0.3422525093791297
